,scan,precursormz,totalIonCurrent,injectTime,scanTime
1142,16066,538.737487792969,796892.4375,163.688934326172,44.593316897583
1143,16067,533.247680664063,308101.46875,415.819610595703,44.59632522905
1144,16068,503.218902587891,1411625.25,94.714012145996,44.60353494825
1145,16069,486.216186523438,1867551.625,58.541435241699,44.605394604
1146,16070,416.221588134766,1096115.25,120.553329467773,44.606651662667
1147,16071,495.758697509766,532613.875,279.726959228516,44.608940633867
1148,16072,437.224914550781,3122676.5,50.700099945068,44.613915001333
1149,16073,496.721313476563,414230.8125,301.972229003906,44.6150409544
1150,16074,638.285278320313,741730.1875,198.06005859375,44.620354094667
1151,16075,483.710205078125,3228712.0,50.046436309814,44.623934778133
1152,16077,423.227386474609,3845481.0,52.940963745117,44.62826512855
1153,16078,538.737487792969,890015.4375,168.463348388672,44.629485449617
1154,16079,533.247680664063,297317.75,408.112854003906,44.632572621867
1155,16080,503.218902587891,1540719.0,102.742118835449,44.639655069867
1156,16081,486.216186523438,2117004.5,82.08553314209,44.641647153067
1157,16082,416.221588134766,1173993.875,129.454177856445,44.643293849583
1158,16083,495.758697509766,590509.625,244.334289550781,44.6457638416
1159,16084,437.224914550781,2848709.25,56.402839660645,44.650114715717
1160,16085,496.721313476563,445348.25,309.196594238281,44.651334758383
1161,16086,638.285278320313,668289.1875,182.606567382813,44.656768556783
1162,16087,483.710205078125,3062998.5,54.737159729004,44.66009120185
1163,16089,423.227386474609,4072823.0,49.96212387085,44.664332857583
1164,16090,538.737487792969,869587.5625,156.6669921875,44.6655022496
1165,16091,533.247680664063,280829.8125,434.653411865234,44.668393277333
1166,16092,503.218902587891,1552156.25,97.843811035156,44.67591790935
1167,16093,486.216186523438,2454096.75,76.055160522461,44.677864293617
1168,16094,416.221588134766,1871773.0,125.093566894531,44.679412111183
1169,16095,495.758697509766,788876.75,228.239807128906,44.681778204783
1170,16096,437.224914550781,2107529.5,61.355155944824,44.685860930117
1171,16097,496.721313476563,516942.78125,297.030303955078,44.6871659624
1172,16098,638.285278320313,744807.875,206.308349609375,44.692398319733
1173,16099,483.710205078125,2494711.75,57.8434715271,44.6961165152
1174,16101,423.227386474609,4185693.25,50.108871459961,44.700414698667
1175,16102,538.737487792969,863067.75,170.433364868164,44.701586764533
1176,16103,533.247680664063,280333.625,492.404296875,44.704708175733
1177,16104,503.218902587891,1521124.75,102.968070983887,44.713224529333
1178,16105,486.216186523438,2041579.25,71.438270568848,44.715220229333
1179,16106,416.221588134766,4443853.0,89.577713012695,44.716690818667
1180,16107,495.758697509766,893379.625,186.766464233398,44.718463890933
1181,16108,437.224914550781,1577173.5,81.12467956543,44.721857666133
1182,16109,496.721313476563,594164.25,276.207672119141,44.7234889432
1183,16110,638.285278320313,724779.1875,199.392929077148,44.728373669067
1184,16111,483.710205078125,2137768.75,70.574989318848,44.731978338667
1185,16113,423.227386474609,4528001.0,50.043216705322,44.736480814683
1186,16114,538.737487792969,760159.25,176.196838378906,44.737652093867
1187,16115,533.247680664063,289202.09375,507.742340087891,44.740869438667
1188,16116,503.218902587891,1768834.0,107.274047851563,44.749647713067
1189,16117,486.216186523438,1528434.375,84.372344970703,44.751715348017
1190,16118,416.221588134766,11660142.0,48.141094207764,44.7534010216
1191,16119,495.758697509766,1012266.875,171.322021484375,44.754482743983
1192,16120,437.224914550781,1524002.75,105.295150756836,44.75761760105
1193,16121,496.721313476563,895583.125,249.254318237305,44.7596515328
1194,16122,638.285278320313,663166.6875,210.055313110352,44.764086287733
1195,16123,483.710205078125,2450283.5,81.35196685791,44.767866118683
1196,16125,423.227386474609,4862434.0,49.064506530762,44.772551519467
1197,16126,538.737487792969,744348.375,208.567108154297,44.773707450667
1198,16127,533.247680664063,288190.5625,521.448608398438,44.777495162667
1199,16128,503.218902587891,2102114.0,98.99356842041,44.786467221333
